date,AIR,MMM,DIS,UPS
2017-10-02,38.21317672729492,206.22154235839844,97.51673126220703,116.11293029785156
2017-10-03,38.788108825683594,207.97593688964844,98.42491149902344,115.07473754882812
2017-10-04,38.837669372558594,209.8660125732422,98.19054412841797,114.39224243164062
2017-10-05,38.71871566772461,209.72061157226562,97.7608642578125,113.62322235107422
2017-10-06,38.51055145263672,209.8660125732422,97.7218017578125,113.14258575439453
2017-10-09,38.52046204,211.45530699999998,97.98775482,113.54940800000001
2017-10-10,38.361866,211.52363590000002,97.99758911,114.48960109999999
2017-10-11,38.09421921,211.2894287,96.98396301,115.26500700000001
2017-10-12,38.25282288,212.3433685,95.38970184,115.89502720000002
2017-10-13,38.16360855,212.47024539999998,95.83255005,114.72222140000001
2017-10-16,38.05456924,213.44613650000002,96.57063293,114.7028351
2017-10-17,37.90588379,212.4995117,96.79698181,114.06311799999999
2017-10-18,38.27264404,213.0070038,96.68873596,114.5186768
2017-10-19,38.14378357,213.953598,97.43665314,115.74964140000002
2017-10-20,38.49636841,215.9834595,97.82045746,116.07919309999998
2017-10-23,38.38712311,216.20790099999996,97.13157654,116.00165559999999
2017-10-24,38.53609848,228.99201969999996,96.72809601,116.02103419999999
2017-10-25,38.43678284,231.9489594,96.24588013,114.90638729999999
2017-10-26,38.40697861,227.3232574,96.99380493,115.66241459999999
2017-10-27,38.34738922,229.0798645,96.74777222,117.0387726
2017-10-30,38.49636841,225.44956969999998,96.48206329,114.4605103
2017-10-31,38.62548447,224.6395569,96.25571442,113.91773219999999
2017-11-01,40.78072739,224.6298065,97.45632935,113.849884
2017-11-02,41.0389595,226.6303864,96.78713989,113.27802279999999
2017-11-03,40.12521744,226.6206207,97.07253265,111.9113541
2017-11-06,40.13515091,224.75666809999998,99.04075623,110.41867830000001
2017-11-07,40.30398941,224.5029449,99.99533844,110.4477615
2017-11-08,40.34371948,224.28823849999998,99.57216644,109.6529617
2017-11-09,40.09542084,222.8829651,101.0483322,109.09078980000001
2017-11-10,39.83718491,221.9656219,103.1149597,110.56525420000001
2017-11-13,39.80739212,222.71707149999997,103.075592,112.10807040000002
2017-11-14,39.65841293,223.8003082,101.5305405,111.38548279999999
2017-11-15,39.17174149,221.91683959999997,102.0422897,110.2332611
2017-11-16,39.69813919,223.8881378,101.9537125,111.0242004
2017-11-17,39.41011047,223.82957459999997,101.796257,110.2820892
2017-11-20,39.71800613,225.90821839999998,101.11721800000001,110.53595729999999
2017-11-21,40.35364914,228.44551090000002,101.3632507,111.23901370000002
2017-11-22,40.3139267,227.1361542,101.1073837,111.09255220000001
2017-11-24,40.42317963,226.9399872,101.0089645,110.47737120000001
2017-11-27,40.50262451,229.50970460000002,101.15658570000001,111.8444366
2017-11-28,41.16807556,231.1084137,101.7667313,112.47913359999998
2017-11-29,41.08861923,233.44274900000002,103.5676498,116.238533
2017-11-30,41.29719162,238.47430419999998,103.15432740000001,118.5918045
2017-12-01,40.88004684,236.52250669999998,103.57749179999999,117.47863770000001
2017-12-04,41.88317871,234.6687775,108.46852109999999,120.8083878
2017-12-05,41.90303802,233.68795780000002,105.51618959999999,117.53722379999999
2017-12-06,42.18113708,234.09008790000001,103.78415679999999,115.50617220000001
2017-12-07,42.409572600000004,235.68881230000002,103.58734129999999,116.9122925
2017-12-08,42.08181763,233.56045530000003,103.3988495,116.7462845
2017-12-11,41.46603394,234.70800780000002,105.9781189,115.2718277
2017-12-12,41.40644073,232.04020690000002,106.5733337,115.3792343
2017-12-13,41.37664413,234.52165219999998,106.7518997,115.61359409999999
2017-12-14,40.96943283,233.5113983,109.6882935,114.0902939
2017-12-15,42.36984253,233.4329529,110.3827057,115.22299960000001
2017-12-18,42.90616989,233.84489440000002,110.1446228,116.01393130000001
2017-12-19,42.48902512,233.8154602,110.91840359999999,116.1994629
2017-12-20,42.73732758,232.3736725,108.8153152,115.5452423
2017-12-21,43.65107346,230.27473450000002,108.6962662,115.7893524
2017-12-22,39.93650818,230.22569269999997,107.8034439,115.8479385
2017-12-26,39.87691879,230.93188480000003,107.25782779999999,115.47688290000002
2017-12-27,39.38031769,231.6674957,106.7816544,116.2775879
2017-12-28,39.32072067,231.196701,106.910614,116.248291
2017-12-29,39.02276611,230.85342409999998,106.6526947,116.3459396
2018-01-02,39.18167877,231.11824040000002,110.9084854,120.75955959999999
2018-01-03,38.87378693,231.1084137,111.38465120000001,123.4350815
2018-01-04,38.48643875,234.1293335,111.3350601,124.23578640000001
2018-01-05,38.5658989,235.9536438,110.72991940000001,124.6166077
2018-01-08,38.91351318,235.1885986,109.1426773,126.1301193
2018-01-09,38.46657181,236.65000919999997,109.0633163,126.07153319999999
2018-01-10,38.25800323,236.51269530000002,108.5970612,126.735527
2018-01-11,38.6453476,237.6602478,110.10494229999999,130.3191833
2018-01-12,41.44617081,239.77879330000002,111.57314299999999,130.93432620000002
2018-01-16,40.74100113,240.0436249,109.80733490000001,129.7528229
2018-01-17,40.87011337,243.34895319999995,111.0771255,130.85621640000002
2018-01-18,40.70127106,241.19116209999999,109.5394897,130.4461212
2018-01-19,41.59180832,243.4175873,109.70812990000002,129.9481049
2018-01-22,40.82564545,242.55448909999998,110.2140656,129.7332764
2018-01-23,40.23858261,241.58348080000002,109.5295715,128.9618835
2018-01-24,40.43758774,242.9370117,109.6188507,128.5908203
2018-01-25,40.42764282,247.51739500000002,109.668457,128.2002258
2018-01-26,40.77589417,253.6670685,111.29537959999999,129.5965881
2018-01-29,40.41769028,251.0973663,110.6505585,127.5655365
